,uri,type,title,dates
162,/agents/ir3ytpyfX9CcetPWbKsnP4,agent,State Of Arkansas,
163,/agents/ZFMXwTPoFbTuDRNNiaYHPP,agent,Peter C. Goldmark,"[{'expression': '1940', 'begin': '1940', 'end': '1940', 'label': 'existence', 'type': 'single'}]"
164,/agents/dJ8E3qwcQGozXs75QDGaNw,agent,Wenquan Zhang,
165,/agents/HxdxwkaPgHNDTYSnd543Qs,agent,Harry E. Wilhelm,
166,/agents/GvgNt9LpwtHaMgE68ULE9n,agent,Stephen Coate,
167,/agents/XBxcch2RLT6HW4GdbXgN5z,agent,Joleen Kirschenman,
168,/agents/26mffWmwzNydCWt2NM3Gz4,agent,Alsie Falconer,
169,/agents/cgNn5aSUHc5yZqWuWUbG6t,agent,Scott Brodie,
170,/agents/fjV3MDSa3G5qCaMtBtWb8D,agent,Alfred C. (Alfred Charles) Kinsey,"[{'expression': '1894-1956', 'begin': '1894', 'end': '1956', 'label': 'existence', 'type': 'range'}]"
171,/agents/UHNBLniH2T4GnQYgFDEKph,agent,Douglas Merritt Whitaker,"[{'expression': '1904-', 'begin': '1904', 'end': '1904', 'label': 'existence', 'type': 'single'}]"
172,/agents/FGNekcN2VzhmwGunEAH6Sv,agent,Christopher Pauling,
173,/agents/cdvgXoaUUgdhxYdz2vP782,agent,Mary Loftus,
174,/agents/oLUn6wN576PUfLJBiPdpAS,agent,Theodor Muller,
175,/agents/2SD8ENhVBCQBq7E4gxpktn,agent,Neil G. Bennett,
176,/agents/B4XiJzfeT68GihKNpYLaCb,agent,Chester Irving Barnard,"[{'expression': '1886-1961', 'begin': '1886', 'end': '1961', 'label': 'existence', 'type': 'range'}]"
177,/agents/63Jjt7uJuatZgvBs9Fkrnc,agent,Merrimon Cuninggim,"[{'expression': '1911-1995', 'begin': '1911', 'end': '1995', 'label': 'existence', 'type': 'range'}]"
178,/agents/GcZr6MVw9utiVszSWzinx2,agent,"Jerome D. (Jerome Davis), 1874-1955 Greene",
179,/agents/jPX2JadMYFnvtWKR8B93dN,agent,William I. Paulding,
180,/agents/ZtpYcReak7GSmYTiqoyk8F,agent,Anne E. Becker,
181,/agents/FbrDtN7jB8kfiFHob34AKC,agent,Jane Waldfogel,
182,/agents/F2WmNJJh75eZeiHEha6jS8,agent,David E. Bell,"[{'expression': '1919-2000', 'begin': '1919', 'end': '2000', 'label': 'existence', 'type': 'range'}]"
183,/agents/NoCEnPWUvQbRaxyH2GyLdK,agent,Becky Petit,
184,/agents/XFiFqSNmAhRUjVtDawxsTm,agent,Wallace K. (Wallace Kirkman) Harrison,"[{'expression': '1895-1981', 'begin': '1895', 'end': '1981', 'label': 'existence', 'type': 'range'}]"
185,/agents/V3mAeiLyjP4xM4djHLxwdB,agent,Christine B. Wing,"[{'expression': '1949', 'begin': '1949', 'end': '1949', 'label': 'existence', 'type': 'single'}]"
186,/agents/mBeF6NsQr7dRbjhqtt9aMh,agent,Edwin C Bearss,
187,/agents/ajeQbuewVyVq6QFFkAH7BN,agent,Henry T. (Henry Townley) Heald,"[{'expression': '1904-1975', 'begin': '1904', 'end': '1975', 'label': 'existence', 'type': 'range'}]"
